"房子名称","房子价格","房子单价","房子类型","房子地址","房子大小"
"金科品质小区天籁城 电梯3室86平米 精装68.8万家电齐全","68.8","8000元/㎡","3室2厅1卫","金科天籁城-其他二手房出售-宏声大道52号","86㎡"
"大两室2厅，家装房，带家电，中等装修，视野宽广，采光好，勉稅","37","3724元/㎡","2室2厅1卫","天德康都-璧青北路581号","99㎡"
"长寿池上春天精装3室2厅1卫，全新满2年，业主急售","58.8","6255元/㎡","3室2厅1卫","朵力池上春天-凤城二手房出售-钢花路","94㎡"
"鸳鸯轻轨站旁 住家精装两室 带书房 业主诚心出售","137","18844元/㎡","2室2厅1卫","融科金湖湾-鸳鸯二手房出售-湖津路121号","72㎡"
"万科出品 西政旁投资*** 低价急售 到手就能收租金","30","11632元/㎡","1室1卫","万科朗润园-农业园区二手房出售-宝圣大道466号","25㎡"
"鸳鸯园博园双轻轨 云居山旁金开国际 精装两房 便宜2房","106.5","16904元/㎡","2室2厅1卫","大雅金开国际-其他二手房出售-金开大道1222号","63㎡"
"两江新区蔡家 渝能嘉湾壹号观江大平层 两梯四户首付三成起","152","10749元/㎡","3室2厅2卫","渝能嘉湾壹号-蔡家岗二手房出售-同康路18号","141㎡"
"大学城 拎包入住 高端养生度假 豪装准现房 有湖有景 可按揭","120","9230元/㎡","3室2厅2卫","中铁任之健康...-三担路","130㎡"
"渝中之巅 地标级建筑 来福士广场 豪装大平层 观两江交汇","800","34782元/㎡","3室2厅2卫","重庆来福士广...-朝天门二手房出售-陕西路9号","230㎡"
"协信星都会 精装两房 朝中庭居家安静仅售110万","112","17806元/㎡","2室2厅1卫","协信星都会-人和二手房出售-金山大道203号","62㎡"
"星都会 全新装修，未住过人  家具家电全送","116","17846元/㎡","2室2厅1卫","协信星都会-人和二手房出售-金山大道203号","65㎡"
"单价11000 渝北蔡家江湾环幕大平层 读朝阳小学 无敌视野","155","10992元/㎡","4室2厅2卫","渝能嘉湾壹号-蔡家岗二手房出售-同康路18号","141㎡"
"二郎 千业商圈 轻轨出口 学校指标 三房 急售97万","97","10659元/㎡","3室1厅1卫","银海方舟-二郎二手房出售-科城路89号","91㎡"
"轻轨5号线旁阿布阿布精装2房户型视野好得房率高售88万","88","16296元/㎡","2室2厅1卫","鼎科阿布阿布-人和二手房出售-吉乐大道48号","54㎡"
"渝北汽博中心 大众尚岭花园 欧式精装大四房 全套家私 挨轻轨","190","15846元/㎡","4室2厅2卫","康翔尚岭花园-汽博中心二手房出售-留云路,近无名小路","119㎡"
"磁器口 附近金域华府精装4室带超大阳台户型大气","180","13333元/㎡","4室1厅1卫","万科金域华府-城南新区二手房出售-龙凤大道","135㎡"
"沙坪坝 烈士墓地铁站 海航新街口 精装修 拎包入住","53","15142元/㎡","1室1卫","海航新街口-杨公桥二手房出售-壮志路43号","35㎡"
"亚洲第壹中央公园 金辉中央铭著 叠上别墅 临轻轨 南开指标","279","12681元/㎡","4室2厅2卫","金辉中央铭著-悦来二手房出售-公园西路","220㎡"
"华夏康城精装正3室   96平   家具家电其全 业主甩卖","66","6875元/㎡","3室2厅1卫","华夏康城-龙门西街338号","96㎡"
"打造的江东 新房特价房特价房 观两江交汇 小高层江景房","71.3","6042元/㎡","4室2厅2卫","澳海御江苑-其他二手房出售-江东滨江大道36号","118㎡"
"核心地段  蓝光精装大3房 毗邻双轻轨 160万急售","160","20000元/㎡","3室2厅1卫","蓝光COCO...-弹子石二手房出售-福民路30号","80㎡"
"弹子石 蓝光精装3房 毗邻双轻轨 140万急售","140","16963元/㎡","3室2厅1卫","蓝光COCO...-弹子石二手房出售-腾龙大道48号","82㎡"
"鸳鸯美利山旁大雅云居山 双轻轨品质小区住精装修 诚心出售","134","17346元/㎡","2室2厅2卫","大雅云居山-鸳鸯二手房出售-龙展路59号","77㎡"
"轻轨大盘 巨成龙湾住家正两室只需112万 有钥匙随时可看","112","14481元/㎡","2室2厅1卫","巨成龙湾-经开区二手房出售-青龙路8号","77㎡"
"急售 弹子石商圈国际社区 中海精装水电气三通 轻轨附近视野好","75","15000元/㎡","1室1厅","国际社区观邸...-弹子石二手房出售-腾龙大道21号","50㎡"
"金科大两房 朝中庭 诚心出售 门口一中 带树人指标配套成熟","77","10405元/㎡","2室2厅1卫","金科廊桥水乡...-大学城二手房出售-大学城南二路1000号","74㎡"
"渝北圣乔维斯1房，价格低于市场价，户型正气，南北通透","65","19117元/㎡","1室1厅1卫","洋丰圣乔维斯-汽博中心二手房出售-金州大道66号","34㎡"
"棕榈泉豪宅大平层 板式 全落地窗 户型大器4房3卫 品质生活","430","17991元/㎡","4室2厅3卫","棕榈泉悦江国...-悦来二手房出售-国博大道,近悦来滨江路","239㎡"
"飚血价再卖三天 中央公园居易天城精装4房 买到你就赚了","165","14732元/㎡","4室2厅2卫","居易天城-空港新城二手房出售-睦邻路109号","112㎡"
"南坪会展旁 亚太商谷精装1房 户型方正朝中庭 临商圈和轻轨","49","12767元/㎡","1室1厅1卫","亚太商谷-南坪二手房出售-亚太路1号","38㎡"
"渝北体育馆旁 盛景天下精装三房 朝中庭 户型方正 满五唯一","120","10429元/㎡","3室2厅2卫","盛景天下-空港新城二手房出售-兰馨大道12号","115㎡"
"渝北汽博轻轨旁 复地精装公寓 月租可达1700 楼层佳","65","15476元/㎡","1室1卫","复地上城国际...-农业园区二手房出售-金渝大道81号","42㎡"
"鸳鸯 复地上城 轻轨房 精装修 朝中庭视野好 带家具家电","185","14341元/㎡","3室2厅2卫","复地上城-鸳鸯二手房出售-金渝路80号-106号","129㎡"
"园博园公园轨道房 大雅金开国际 全新精装修小两房 金山小学","108","17419元/㎡","2室2厅1卫","大雅金开国际-其他二手房出售-金开大道1222号","62㎡"
"高笋塘商业中心，楼下就是大型得超市，购物方便","110","10576元/㎡","3室2厅2卫","桥达漫生活街...-其他二手房出售-兴华中路17号","104㎡"
"轻轨边旁 海洲两房 居家装修 出行方便 接受各种方式","52","7428元/㎡","2室2厅1卫","海洲时代-九江大道6号","70㎡"
"照母山高品质轻轨房  清水三房  面向中庭","190","16666元/㎡","3室2厅2卫","世茂茂悦府-人和二手房出售-湖红路365号","114㎡"
"照母山人民小学旁 精装修标准2房 送家具家电","136","19050元/㎡","2室2厅1卫","世茂茂悦府-人和二手房出售-湖红路365号","71㎡"
"照母山人民小学旁 精装修3房2厅2卫 诚心卖","198","19656元/㎡","3室2厅2卫","世茂茂悦府-人和二手房出售-湖红路365号","100㎡"
"世茂茂悦府，精装修洋房 送全新品牌家具家电","295","23412元/㎡","3室2厅2卫","世茂茂悦府-人和二手房出售-湖红路365号","126㎡"
"蔡家 上城中央 精装修 两房 户型方正 采光好  欢迎来看房","90","12162元/㎡","2室2厅1卫","上城中央二期-蔡家岗二手房出售-嘉祥大道56号","74㎡"
"双龙轻轨站旁正三房，就读于双湖小学，采光极好，满2产证齐全","66.8","7422元/㎡","3室2厅1卫","龙平街小区-其他二手房出售-龙平街1号","90㎡"
"空港小学旁，桂馥家园精装三房，环境优美，，全明户型","138.8","14924元/㎡","3室2厅1卫","桂馥家园-空港新城二手房出售-桂馥大道，机兰桂大道","93㎡"
"北门电梯房 精装3室全新装修配套齐全 拎包入住","46","6388元/㎡","3室2厅1卫","北部新城-白龙路38号","72㎡"
"融创奥园五期跃层 豪装四房 紧邻轻轨站和金山公园 带家具家电","190","19095元/㎡","4室2厅2卫","奥林匹克花园...-汽博中心二手房出售-金童路108号","99㎡"
"中渝滨江壹号标准三室两厅两卫，户型方正，采光好","100","9090元/㎡","3室2厅2卫","中渝滨江壹号...-其他二手房出售-南滨大道二支路26号","110㎡"
"江北金融城旁融景城豪华装修三房业主急着出售","210","21649元/㎡","3室2厅1卫","融景城尚峰-五里店二手房出售-建新东路","97㎡"
"存在不会过两天 黄泥磅新二手楼盘 低于市场价的一改二房","116","18679元/㎡","1室1厅1卫","正升青青丽苑-黄泥磅二手房出售-红黄路441号","62㎡"
"嘉陵江边上的高层，轨道房 正两室，视野好，价格便,宜","109","13292元/㎡","2室2厅1卫","嘉悦江庭-悦来二手房出售-金兴大道,近悦来大道","82㎡"
"沙坪坝 烈士墓地铁站 海航新街口 精装修 拎包入住","53","15142元/㎡","1室1卫","海航新街口-杨公桥二手房出售-壮志路43号","35㎡"
"129平149万买豪装四房 带保姆房 高楼层采光好 可看江景","149","11484元/㎡","5室2厅2卫","融汇半岛艾德...-李家沱二手房出售-融汇大道8号","129㎡"
"沙坪坝三峡广场 商圈中的住宅 带沙小名额  精装修 拎包入住","65","16752元/㎡","1室1卫","煌华新纪元-三峡广场二手房出售-三峡广场步行街","38㎡"
"重庆地标建筑 来福士广场，璀璨来袭，享山城夜景，世界名流汇聚","760","33187元/㎡","4室2厅3卫","重庆来福士广...-朝天门二手房出售-陕西路9号","229㎡"
"国家授权康养基地，高新区康养居家之地有湖，公园，生态蔬果园","63","9130元/㎡","2室1厅1卫","中铁任之健康...-三担路","69㎡"
"融汇半岛玫瑰公馆 三房清水 读书指标 户型方正 降价急售","115","12587元/㎡","3室2厅1卫","融汇半岛玫瑰...-李家沱二手房出售-融汇大道11号","91㎡"
"江北嘴核心位置 大平层 品质小区 俯瞰龙头寺公园 交通便利","368","15462元/㎡","4室2厅3卫","中瑞方园天和...-其他二手房出售-龙头寺路,近红黄路","238㎡"
"单价8千多 蓝光林肯公园带蓝光学校指标 滨江路保利观塘旁","82","9213元/㎡","3室2厅1卫","蓝光林肯公园-李家沱二手房出售-渝南分流道,近二塘街","89㎡"
"重庆城市地标  俯瞰两江交汇一窗一江景  豪装大平层","400","40000元/㎡","2室2厅2卫","重庆来福士广...-朝天门二手房出售-陕西路9号","100㎡"
"佳兴诚推温莎名苑豪华装修正四房欧式装修拎包入住环境安静","79.9","7133元/㎡","4室2厅2卫","柏涟温莎名苑-其他二手房出售-学府大道","112㎡"
"圣湖天域精装三房 拎包入住 错层结构 看房方便","110","11578元/㎡","3室2厅1卫","圣湖天域-回兴二手房出售-宝桐路1号","95㎡"
"鸳鸯 复地天玺 轻轨旁清水四房 南北通透 全朝中庭 230万","230","15333元/㎡","4室2厅2卫","复地天玺-鸳鸯二手房出售-金渝大道，近金开大道","150㎡"
"麦格蓝山  比邻澳海 温泉城  三室两厅卫46万出售","46","6133元/㎡","3室2厅1卫","澳海水岸蓝山-其他二手房出售-桥南路777号","75㎡"
"龙头寺公园旁 轻轨站旁 正规中装两房带入户 家电齐全拎包入住","138","16497元/㎡","2室2厅1卫","丰业御景铭洲-龙头寺二手房出售-尚品路1000号","83㎡"
"诚售圣湖天域豪装大三房，带双休闲厅，观湖景观阳台，住家豪装","175","11437元/㎡","3室2厅2卫","圣湖天域-回兴二手房出售-宝桐路1号","153㎡"
"中渝滨江壹号江景房，标准三室两厅两卫，户型好，采光好","110","10000元/㎡","3室2厅2卫","中渝滨江壹号...-其他二手房出售-南滨大道二支路26号","110㎡"
"江城一品精装小三室，高楼层，采光好，主卧可以看江","80","10075元/㎡","3室2厅1卫","江城一品一期-其他二手房出售-玉龙路","79㎡"
"鲁能美式大端户，3加1结构，南北直通户型方正大气，双产权车位","330","12132元/㎡","5室4厅4卫","鲁能领秀城骏...-茶园新区二手房出售-天文大道，近莲池路","272㎡"
"轻轨3号线南坪商圈商业大厦一室一厅出售","68","13076元/㎡","1室1厅1卫","南坪商业大厦-南坪二手房出售-南坪西路3号","52㎡"
"南坪 康德国会山 精装两房 带南坪实验指标 业主诚心出售","113","16073元/㎡","2室2厅1卫","康德国会山-南坪二手房出售-辅仁路8号","70㎡"
"重庆之颠，堪比上海汤臣一品高端品质楼盘，渝中区龙头位置","1300","39393元/㎡","4室3厅3卫","重庆来福士广...-朝天门二手房出售-陕西路9号","330㎡"
"南山风景区,大学旁边,端头户,花园近150平米 安心出售","265","12325元/㎡","5室2厅4卫","山与城-黄桷桠二手房出售-福寿路2号","215㎡"
"轻轨站旁  大小区 环境优美 两房清水","30","4545元/㎡","2室2厅1卫","山水庭源-蔡家岗二手房出售-同熙路","66㎡"
"蔡家美丽花都 高品质精装一室 户型方正 价格美丽 随时看房","51.5","11444元/㎡","1室1厅1卫","美利花都-城北新区二手房出售-嘉运大道2号","45㎡"
"两江新区 蔡家 轻轨站旁 品质小区 名流印象 精装修三房满2","135","14516元/㎡","3室2厅1卫","名流印象-蔡家岗二手房出售-同荣路428号","93㎡"
"圣湖天域靠湖洋房户型方正交通便利装修豪华难得的户型买到就赚到","200","13793元/㎡","4室2厅2卫","圣湖天域-回兴二手房出售-宝桐路1号","145㎡"
"冉家坝 尚源印象 龙湖物业 带车位 带星光指标 随时看房","185","20555元/㎡","2室2厅2卫","尚源印象-冉家坝二手房出售-青枫南路50号","90㎡"
"东海三房跃层实用面积120左右，好房不贵","66","11760元/㎡","4室2厅2卫","东海滨江城观...-嘉陵路29号","56㎡"
"两江新区  礼嘉龙湖天街旁 高端大平层 御璟湖山 智慧之城","219","15103元/㎡","4室2厅2卫","华宇旭辉御璟...-礼嘉二手房出售-礼敬路699号","145㎡"
"金剑小学附近福星一街精装修，出行方便","38.8","4084元/㎡","3室2厅1卫","金桂苑-金剑路219号","95㎡"
"四室两厅三卫南北通透交通方便周边配套齐全没有物管费","70","3500元/㎡","4室2厅3卫","天湖园林-东林大道50号","200㎡"
"重庆天地 翠湖天地 精装大两室 品质小区 人文荟萃 居家舒适","185","21511元/㎡","2室2厅1卫","瑞安翠湖天地-化龙桥二手房出售-永嘉路45号","86㎡"
"买建面一万八雍江艺庭精装两房 朝南 业主安心出售 随时看房","200","17699元/㎡","2室2厅2卫","雍江艺庭-化龙桥二手房出售-瑞天路182号","113㎡"
"明华龙洲半岛，精装跃城四房，配套齐全，紧邻轻轨，购物便利。","90","11494元/㎡","4室2厅1卫","明华龙洲半岛-鱼洞二手房出售-龙洲大道1号","78㎡"
"中慧第  一城精装2室，大型小区环境好，停车便宜","48","8727元/㎡","2室2厅1卫","中慧第一城-其他二手房出售-步阳路","55㎡"
"三兴美泉雅君 78平方 可改三居   好户型  小区环境好","40.8","5230元/㎡","2室2厅1卫","三兴美泉雅郡-李渡二手房出售-太白大道8号","78㎡"
"十里桃花十里蓝山开，30平米大露台，车位，实木家私","150","9803元/㎡","3室2厅2卫","蓝光十里蓝山-鱼洞二手房出售-渝南大道111号","153㎡"
"空港新城 汇祥林里3000 精装三房 客厅带阳台 视野开阔","152.8","16977元/㎡","3室2厅2卫","汇祥林里30...-空港新城二手房出售-兰桂大道6号","90㎡"
"锦上华庭装修三房 南北通透,业主诚心出售 出门即轻轨","199","17008元/㎡","3室2厅2卫","锦上华庭-加洲新牌坊二手房出售-红叶路8号","117㎡"
"鸳鸯商圈 豪装两房 朝中庭 鸳鸯轻轨站附近 保利高尔夫附近","113","17365元/㎡","2室2厅1卫","大雅云居山-鸳鸯二手房出售-龙展路59号","65㎡"
"金科精装2房视野开阔，户型方正。精装修拎包入住","89","13283元/㎡","2室2厅1卫","金科廊桥水乡...-大学城二手房出售-大学城南二路1000号","67㎡"
"大学城金科廊桥天都 基装两房 直厅大阳台 视野好 树人指标","86","13030元/㎡","2室2厅1卫","金科廊桥水乡...-大学城二手房出售-纵五路,近至大南路","66㎡"
"沙坪坝 烈士墓地铁站 阳光水城 三期 精装修 拎包入住","150","14705元/㎡","3室2厅2卫","光华阳光水城...-杨公桥二手房出售-杨公桥216号","102㎡"
"石井坡 地铁站旁 中昂嘉御湾 精装三房  带阳台","125","15854元/㎡","3室2厅1卫","中昂嘉御湾-双碑二手房出售-双碑中心湾,近厂区公路","78㎡"
"袁家岗金茂珑悦精装四房小区一楼出行方便.地下车库3层.不潮湿","258","20000元/㎡","4室2厅2卫","金茂珑悦南区-杨家坪二手房出售-袁家岗158号","129㎡"
"江北观音桥 读书梁 业主急售 全新装修三房 拎包入住带露台","162","13989元/㎡","3室2厅2卫","华新逸景-观音桥二手房出售-读书一村10号","115㎡"
"紫薇南苑 西站附近  精装一房可改两房    出售66万","66","12290元/㎡","1室1厅1卫","紫薇南苑-石桥铺二手房出售-凤西路,近朝阳路","53㎡"
"住宅型公寓，单价8千多，带学校指标，民用水电气小三房，稳稳赚","82","9213元/㎡","3室2厅1卫","蓝光林肯公园-李家沱二手房出售-渝南分流道,近二塘街","89㎡"
"十里蓝山，清水顶跃，五个露台，全景观洋房，全款出售 超低单价","165","11301元/㎡","4室3厅3卫","蓝光十里蓝山-鱼洞二手房出售-渝南大道111号","146㎡"
"南坪协信城旁，正规大2房，带外阳台，低单价，低总价，离轻轨近","105","14583元/㎡","2室2厅1卫","交通大厦-南滨路二手房出售-金紫街，近南湖路","72㎡"
"高铁站对面 龙头寺轻轨站 招商花园城 住家精装一房带车位出售","130","21666元/㎡","1室1厅1卫","招商花园城-龙头寺二手房出售-天吉路4号","60㎡"
"渝北鸳鸯轻轨站 园丁梦苑 精装修两房 低于市场价 随时看房","110","12103元/㎡","2室2厅1卫","园丁梦苑-鸳鸯二手房出售-湖月路，近金开大道","90㎡"
"养老舒适度两房，家电齐全，直接拎包入住！","44.8","7227元/㎡","2室2厅1卫","金川花苑-其他二手房出售-金川大道","62㎡"
"融科金湖湾 北欧浪漫装修 电梯高层 前无遮挡 价格靓 138","138","16046元/㎡","2室2厅1卫","融科金湖湾-鸳鸯二手房出售-湖津路121号","86㎡"
"特价急售！金剑小学旁，错层，精装三房，单价才3000多","45","3688元/㎡","3室2厅2卫","静康苑-金剑路229号","122㎡"
"黄泥磅 市公安局旁 松龙锦绣园 精装2室拎包入住 好房不等人","115","15333元/㎡","2室2厅1卫","松龙锦绣园-黄泥磅二手房出售-紫荆路85号","75㎡"
"江北嘴对面 来福士广场 观南滨路夜景看两江交汇 豪装大平层","399","40714元/㎡","1室1厅1卫","重庆来福士广...-朝天门二手房出售-陕西路9号","98㎡"
"沙坪坝陈家桥龙腾丰文三室一厅稀缺户型出售","82","8817元/㎡","3室1厅1卫","国盛龙腾丰文...-其他二手房出售-建博路9号","93㎡"
"捡趴活了鸳鸯轻轨站 高品质小区 精装俩房  带品牌家电","115","18253元/㎡","2室2厅1卫","大雅云居山-鸳鸯二手房出售-龙展路59号","63㎡"
"袁家岗轻轨站精装一房 视野开阔家电家具全齐 租金抵月供","48","11538元/㎡","1室1厅1卫","金牌大厦-袁家岗二手房出售-奥体五支路1号6-6","41㎡"
"融科金湖湾 复式精装3房 采光充足 电梯高层 急售房源","180","18397元/㎡","3室2厅2卫","融科金湖湾-鸳鸯二手房出售-湖津路121号","97㎡"
"恒大金碧天下全新空房，就当买的新房子了，价格便宜","67","8170元/㎡","2室2厅1卫","恒大金碧天下-恒大大道1号","82㎡"
"欧麓花园洋房棠屿，环境优美周边配套齐全，交通方便。","140","12727元/㎡","3室2厅3卫","融创欧麓花园...-茶园新区二手房出售-天鹿大道","110㎡"
"金科品质小区天籁城 电梯3室86平米 精装68.8万家电齐全","68.8","8000元/㎡","3室2厅1卫","金科天籁城-其他二手房出售-宏声大道52号","86㎡"
"大两室2厅，家装房，带家电，中等装修，视野宽广，采光好，勉稅","37","3724元/㎡","2室2厅1卫","天德康都-璧青北路581号","99㎡"
"长寿池上春天精装3室2厅1卫，全新满2年，业主急售","58.8","6255元/㎡","3室2厅1卫","朵力池上春天-凤城二手房出售-钢花路","94㎡"
"鸳鸯轻轨站旁 住家精装两室 带书房 业主诚心出售","137","18844元/㎡","2室2厅1卫","融科金湖湾-鸳鸯二手房出售-湖津路121号","72㎡"
"万科出品 西政旁投资*** 低价急售 到手就能收租金","30","11632元/㎡","1室1卫","万科朗润园-农业园区二手房出售-宝圣大道466号","25㎡"
"鸳鸯园博园双轻轨 云居山旁金开国际 精装两房 便宜2房","106.5","16904元/㎡","2室2厅1卫","大雅金开国际-其他二手房出售-金开大道1222号","63㎡"
"两江新区蔡家 渝能嘉湾壹号观江大平层 两梯四户首付三成起","152","10749元/㎡","3室2厅2卫","渝能嘉湾壹号-蔡家岗二手房出售-同康路18号","141㎡"
"大学城 拎包入住 高端养生度假 豪装准现房 有湖有景 可按揭","120","9230元/㎡","3室2厅2卫","中铁任之健康...-三担路","130㎡"
"渝中之巅 地标级建筑 来福士广场 豪装大平层 观两江交汇","800","34782元/㎡","3室2厅2卫","重庆来福士广...-朝天门二手房出售-陕西路9号","230㎡"
"急售 城邦国际 正规精装修3房 拎包入住 带指标业主安心卖","105","13080元/㎡","3室2厅1卫","中冶城邦国际-九宫庙二手房出售-钢花路1056号","80㎡"
"内销 荣安明月江南 紧缺户型 还有十多套 先到先得 免费带看","65","6565元/㎡","3室2厅2卫","荣安明月江南-鱼洞二手房出售-鱼洞江滨路39号","99㎡"
"渝北空港  锦绣丽舍  精装三室  拎包入住","102","10268元/㎡","3室2厅1卫","锦绣丽舍-双凤桥二手房出售-港汇路88号","99㎡"
"渝北回兴  兴科三路   富悦新城  中装大三房  住家安静","110","9649元/㎡","3室2厅2卫","富悦新城-回兴二手房出售-兴科四路111号","114㎡"
"价格美丽  回兴 金鹏两江时光 正两室 满两年首付36万","102","14439元/㎡","2室1厅1卫","金鹏两江时光-农业园区二手房出售-宝圣大道599号","70㎡"
"中渝春华秋实 精装一室一厅 朝中庭 下楼就是永辉 沙小指标","60","11538元/㎡","1室1厅1卫","中渝春华秋实...-大学城二手房出售-思贤路17号","52㎡"
"复地天玺 爱她就给她一个家 温馨舒适2居室 电梯中高层 急售","155","17613元/㎡","2室2厅1卫","复地天玺-鸳鸯二手房出售-金渝大道，近金开大道","88㎡"
"北城蓝湖清水房三室两厅两卫中间楼层","59","5673元/㎡","3室2厅2卫","北城蓝湖B区-塔山东街66号","104㎡"
"住宅型公寓，单价8千多，带学校指标，民用水电气小三房，稳稳赚","82","9213元/㎡","3室2厅1卫","蓝光林肯公园-李家沱二手房出售-渝南分流道,近二塘街","89㎡"
"加新花园二区 精装修生活方便 门口就是公交交通便利 拎包入住","128","13763元/㎡","2室2厅1卫","加新花园二区-人和二手房出售-人和大道108号","93㎡"
"金科小城故事 5号线人和站旁 紧凑两房 拎包入住","92","18775元/㎡","2室1厅1卫","金科小城故事-人和二手房出售-胡杨路2号","49㎡"
"育才中学旁建宇新时区单间配套 住宅性质 产权清晰 落户好出租","13","6190元/㎡","1室1卫","建宇新时区-福城大道99号","21㎡"
"照母山 婚房观景房 满5年唯一 税少 干湿分离 全明户型","148","17227元/㎡","2室1厅1卫","万科城三期-汽博中心二手房出售-金山大道28号","85㎡"
"渝北新牌坊，财富中心环线旁，证在手，急售2房，正常首付60万","120","14109元/㎡","2室2厅1卫","荣鼎国际-加洲新牌坊二手房出售-红锦大道611号","85㎡"
"万达轻轨房总价低至59万的公寓5.1米哦","66","11785元/㎡","2室1厅1卫","巴南万达广场...-龙洲湾新区二手房出售-渝南大道301号","56㎡"
"五里店新世纪超市楼世纪阳光精装两房带外阳台近轻轨公交","145","17261元/㎡","2室2厅1卫","世纪阳光-五里店二手房出售-建新东路292号","84㎡"
"普罗旺斯公馆清水房正2室户型方正采光好","56","6436元/㎡","2室2厅1卫","普罗旺斯国际...-龙城大道699号","87㎡"
"冉家坝 劲力一期 带星光指标  采光通透","205","17826元/㎡","3室2厅2卫","劲力五星城1...-冉家坝二手房出售-杜松路37号","115㎡"
"申明坝圣湖上城银行对面，三面彩光，3房两厅两厅43万领包入住","48","3824元/㎡","3室2厅2卫","周家坝国家移...-周家坝二手房出售-天子路1010号","125㎡"
"渝北人和 协信柠檬郡 精装两房 环境优美 视野开阔 诚心急售","138.8","16329元/㎡","2室2厅1卫","协信柠檬郡-人和二手房出售-金开大道58号","85㎡"
"回兴宝圣湖电梯大房子，清水给你自由装修的空间，你值得拥有","128","7529元/㎡","3室2厅2卫","交通佳苑-两路二手房出售-海福路,近兴科二路","170㎡"
"解放碑洪崖洞附近 一线江景 正规二室客厅带景观阳台","130","15476元/㎡","2室1厅2卫","华庭锦园-解放碑二手房出售-嘉陵江滨江路132号","84㎡"
"九龙坡二郎保利九悦荟，火车西站旁精装现房，轻轨房带租约递增","57.8","14688元/㎡","1室1厅1卫","中航九悦荟-二郎二手房出售-火炬大道5号","39㎡"
"双福新区 单价2万临街门面 现铺 现铺，一手楼盘限量发售","100","10000元/㎡","2室2厅2卫","李子湖畔-福星大道18号","100㎡"
"南坪长江村 楼梯房  2房 待拆迁 出行方便 近轻轨","65","11206元/㎡","2室1厅1卫","长江村小区-铜元局二手房出售-长江村30号","58㎡"
"渝北两路三号桥精装三房 户型方正 端头采光 装修保持9成新","73.8","7768元/㎡","3室2厅1卫","翠湖园-其他二手房出售-翠湖路53号","95㎡"
"人和康居两房 户型方正 采光很好 出行方便","68","8143元/㎡","2室2厅1卫","人和康居二期-人和二手房出售-龙寿路1018号","83㎡"
"烈士墓 金悦城 两室一厅精装修 直接入住","105","17500元/㎡","2室1厅1卫","金悦城-杨公桥二手房出售-童家桥正街","60㎡"
"烈士墓地铁站旁 海航新街口 两室改三室 急卖 精装 两个阳台","88","12571元/㎡","2室2厅1卫","海航新街口-杨公桥二手房出售-壮志路43号","70㎡"
"烈士墓地铁旁边 金悦城 两室一厅 随时看房 视野开阔","110","16923元/㎡","2室1厅1卫","金悦城西区-磁器口二手房出售-小杨公桥108号","65㎡"
"烈士墓 金悦城 车站背后1栋 精装一室","70","16279元/㎡","1室1厅1卫","金悦城西区-磁器口二手房出售-小杨公桥108号","43㎡"
"空港新城小学旁 精装大四房 家具家电齐全 拧包入住 随时看房","188","14687元/㎡","4室2厅2卫","爱加橄榄园-空港新城二手房出售-福畅路1号","128㎡"
"西永轻轨 西城科景 精装两房 有证可按揭 精装带家电","66","7333元/㎡","2室1厅2卫","西城科景-大学城二手房出售-西园二路9号","90㎡"
"渝北鸳鸯轻轨旁 金城银樽 简装小两室 业主诚心出售","80","13245元/㎡","2室1厅1卫","金城银樽-鸳鸯二手房出售-金开大道1113号","60㎡"
"中海天钻 正看龙头寺公园俯瞰江北嘴 3梯2户 板式结构大平层","400","16806元/㎡","5室3厅3卫","新鸥鹏教育城-江北城二手房出售-北滨二路,近鲁溉路","238㎡"
"优质 商业门面出售 两大小区出入口 周边有大型室内游乐场","130","10833元/㎡","2室2厅2卫","中国摩-龙兴二手房出售-空港东路777号","120㎡"
"南岸区茶园新区 同景国际雍华府 联排中户上山户型 清水可五房","235","14165元/㎡","5室3厅3卫","同景国际城雍...-茶园新区二手房出售-香溪路6号","165㎡"
"重庆 地标级建筑 朝天门码头 看两江交汇 渝中半岛视野无敌","1000","40650元/㎡","4室2厅2卫","重庆来福士广...-朝天门二手房出售-陕西路9号","246㎡"
"大学城恒大未来城大跃层4室2厅2卫带车位出售哟一梯一户安逸哟","148","11935元/㎡","4室2厅2卫","旭阳台北城敦...-大学城二手房出售-大学城南二路","124㎡"
"中渝春华秋实精装两房！带车位！送全套家具家电急售！","110","14907元/㎡","2室2厅1卫","中渝春华秋实...-大学城二手房出售-思贤路17号","73㎡"
"协信城精装两房，住家装修，看房方便！！！","83","12573元/㎡","2室2厅1卫","协信城天骄名...-大学城二手房出售-大学城东路9号","66㎡"
"恒大城天御精装两房，业主房子保持很新，朝中庭","96","11428元/㎡","2室2厅1卫","恒大城三期-李家沱二手房出售-渝南分流道","84㎡"
"急售南坪响水路车站旁女子医院后面宁静小区超大三房","90","7758元/㎡","3室2厅2卫","宁静小区-南坪二手房出售-响水路69号","116㎡"
"沙坪坝大学城 清水现房公寓 轻轨站旁 大学对面 单价6700","32","6666元/㎡","1室1厅1卫","富力城繁华里...-大学城二手房出售-景阳路35号","48㎡"
"杨公桥梨苑新居大两房带阳台户型，单价9000的电梯房采光好","71","8875元/㎡","2室2厅1卫","杨梨苑-磁器口二手房出售-杨梨路34号","80㎡"
